,carbon dioxide,methane,nitrous oxide,isoprene,ammonia,sulfur dioxide,acetaldehyde,trichloroethylene,methylethylketone,black carbon,benzene,tropospheric ozone,ethanol,acetone,carbon monoxide,HFC-161,HFC-152,HCFC-151,HCFC-141a,HCFC-131,methylbromide,HCFC-31
2024,3.399703430850161e-14,9.257604646163275e-12,2.2364638846964556e-11,1.8283723599239006e-12,9.696644969517257e-12,7.607765729815272e-13,1.0449220399987266e-12,1.2364428386503837e-13,1.23885493938907e-12,9.455434895648655e-09,1.0400978385213531e-13,5.422403097418559e-12,2.589149257866154e-12,1.2587617646779084e-12,9.698068390872969e-14,1.3019079585916519e-12,2.5576517186097623e-12,1.1179308284370444e-12,1.5049499133298848e-12,2.2184195675960666e-12,1.4285630104352335e-13,3.032172591816527e-12
2025,3.1571070809998453e-14,1.1942986880002634e-11,2.8005212013688098e-11,1.7355547733342214e-12,9.204393388922899e-12,7.221556405139999e-13,9.918764219107972e-13,1.1736746395925056e-13,1.1759642896892539e-12,8.975428379248204e-09,9.872971217173016e-14,5.147133993182299e-12,2.457710707602633e-12,1.1948547648928534e-12,9.204360095885817e-14,1.2355360849745485e-12,2.418444522326168e-12,1.0557936803446169e-12,1.421062331650578e-12,2.0810843459055403e-12,1.3385789421258497e-13,2.8349304341094082e-12
2026,2.898229361192192e-14,1.1720853946390805e-11,2.7378949578358853e-11,1.57522761400148e-12,8.354109509612077e-12,6.554443132665821e-13,9.002488158119297e-13,1.0652528693102403e-13,1.06733100600417e-12,8.14629584021875e-09,8.960925424240617e-14,4.671651745699101e-12,2.2306721608330976e-12,1.0844634387139122e-12,8.35099981232588e-14,1.1207792932142953e-12,2.178038991275114e-12,9.490102990014965e-13,1.277015022424591e-12,1.855823696918908e-12,1.1924890239258185e-13,2.5213233009230216e-12
2027,2.6408265698836677e-14,1.114188218991786e-11,2.598027793159555e-11,1.230681623781764e-12,6.526833941428359e-12,5.120804540115674e-13,7.033394187628764e-13,8.322525070587502e-14,8.338760975914431e-13,6.364474888158995e-09,7.000922376974896e-14,3.649831926326611e-12,1.742762286403792e-12,8.472714543845303e-13,6.526856111393519e-14,8.76129400062819e-13,1.71738582535985e-12,7.503999452102643e-13,1.0101483906960623e-12,1.4904124246828585e-12,9.603436979914502e-14,2.041552421645296e-12
2028,2.5078766754116455e-14,9.548324574432792e-12,2.2412776392571656e-11,1.0851099897916593e-12,5.754804959053389e-12,4.5150882688692524e-13,6.201446537964991e-13,7.338092094554141e-14,7.352407529775677e-13,5.611650606838129e-09,6.172815667521943e-14,3.2181102597774575e-12,1.5366190319974886e-12,7.470639576008991e-13,5.75775256536382e-14,7.730864060115894e-13,1.5310481726753668e-12,6.709220538441341e-13,9.035064041364384e-13,1.3506942316313167e-12,8.72122286493241e-14,1.861143662937641e-12
2029,2.4373537869545824e-14,8.100507091288226e-12,1.9204224590816507e-11,1.1308230366468385e-12,5.997240906754997e-12,4.705297965150565e-13,6.46269840996584e-13,7.647228081598542e-14,7.662146591316841e-13,5.848055809572045e-09,6.432861390529244e-14,3.3536813826938144e-12,1.601353036256192e-12,7.785275851623917e-13,5.998325619563186e-14,8.052540380995651e-13,1.5841126098737008e-12,6.928641871299935e-13,9.328211933876906e-13,1.3825929637281019e-12,8.915060832869748e-14,1.897706853113085e-12
2030,2.3297412603052732e-14,8.528748598823056e-12,2.0032882350723362e-11,1.0628158389376849e-12,5.636569488825189e-12,4.422323424814592e-13,6.07403458348028e-13,7.187327164108917e-14,7.201348481245322e-13,5.496356317461381e-09,6.045991949207512e-14,3.151992488959411e-12,1.5050483838399385e-12,7.317118114791722e-13,5.6386656800115347e-14,7.570434833080482e-13,1.4950338204822668e-12,6.546179502132419e-13,8.81457193520831e-13,1.3129939992791825e-12,8.472939867849442e-14,1.806207901904735e-12
2031,2.2446292854240303e-14,7.520060128115182e-12,1.7791050140660386e-11,1.0652203474316973e-12,5.6493216314979275e-12,4.432328464115541e-13,6.087776444688812e-13,7.203587732104076e-14,7.217640770988384e-13,5.508791242654689e-09,6.059670366920163e-14,3.1591235239894236e-12,1.5084533891676664e-12,7.333642660793578e-13,5.650718507958907e-14,7.586143525291043e-13,1.4944760045212346e-12,6.539372221791078e-13,8.804632345131716e-13,1.3075886808555026e-12,8.43390982685941e-14,1.7961798699634952e-12
2032,2.1450951176734395e-14,8.026372031476153e-12,1.8771068025874862e-11,1.0272313029846155e-12,5.447849390498879e-12,4.274257954635193e-13,5.870667552149543e-13,6.946685566093845e-14,6.960237430249321e-13,5.312330748944185e-09,5.843563823838601e-14,3.046459445372119e-12,1.4546572939914091e-12,7.072130547857329e-13,5.4498689624819985e-14,7.316956182059993e-13,1.4451824829161842e-12,6.328264092634925e-13,8.521201938179561e-13,1.26902835142107e-12,8.187790432014759e-14,1.7445653353609275e-12
2033,2.0536941122570978e-14,7.710618291565947e-12,1.7962690534276297e-11,1.0348079844264014e-12,5.4880317907574334e-12,4.3057841462808274e-13,5.913968586458009e-13,6.997923124234475e-14,7.011574944609486e-13,5.351513587007246e-09,5.886664945707967e-14,3.0689296131776824e-12,1.4653865995222979e-12,7.124307021465684e-13,5.490378053840156e-14,7.371540097811771e-13,1.4560190093151922e-12,6.37337039018725e-13,8.581409767269793e-13,1.2729358736097807e-12,8.205137290757707e-14,1.744745412258597e-12
2034,1.946341972153417e-14,6.653642760716794e-12,1.5616061126970445e-11,1.0809640414486018e-12,5.732817211904198e-12,4.497837185658164e-13,6.177752279096754e-13,7.310054982144506e-14,7.324315721477596e-13,5.590209818573243e-09,6.149230800430569e-14,3.2058145213533236e-12,1.5307479229270835e-12,7.441893478576206e-13,5.730929751419403e-14,7.691590087111198e-13,1.4960879766443886e-12,6.520398101405689e-13,8.774326686639899e-13,1.276388757945118e-12,8.202515215193656e-14,1.7345334510611252e-12
2035,1.77378148079221e-14,7.123552845877056e-12,1.6543753149166252e-11,8.678880883596969e-13,4.602783793147731e-12,3.611238826763172e-13,4.960014774108451e-13,5.869121821809771e-14,5.880571532737995e-13,4.488286683865449e-09,4.937115352251996e-14,2.573895307503845e-12,1.2290121194392125e-12,5.975041885143853e-13,4.60291448387702e-14,6.178772400662313e-13,1.2111364458444736e-12,5.290988974174284e-13,7.122226213568718e-13,1.048736710949521e-12,6.754153861209154e-14,1.43430458113628e-12
2036,1.6748740462340624e-14,6.8698981868373154e-12,1.590022188286511e-11,7.875457500170496e-13,4.176693819351637e-12,3.276938384635586e-13,4.5008551307043e-13,5.32580410895435e-14,5.336193894574626e-13,4.072795963148858e-09,4.4800755594637436e-14,2.3356240766744285e-12,1.1152397258610868e-12,5.421929583342074e-13,4.177070536242079e-14,5.607314885844466e-13,1.101093734047568e-12,4.813595000387949e-13,6.480242090619254e-13,9.583239705032592e-13,6.177100528187627e-14,1.3139788517277305e-12
2037,1.5973326518660588e-14,5.5409438128881975e-12,1.2965630610477486e-11,7.237556171971646e-13,3.838387310201322e-12,3.0115108398942736e-13,4.136291996963217e-13,4.894421231863678e-14,4.903969459003484e-13,3.7429050388032836e-09,4.117195542683606e-14,2.1464417367802273e-12,1.0249068418920404e-12,4.982817421260605e-13,3.8400825483842865e-14,5.155850310666599e-13,1.0196930631106936e-12,4.46671599776319e-13,6.014860412829087e-13,8.974456793775416e-13,5.792470655424907e-14,1.2351525213539818e-12
