,0
carbon dioxide,3.754504978872179e-15
methane,1.273752654389074e-12
nitrous oxide,2.9986514633453632e-12
isoprene,1.7342477211215366e-13
ammonia,9.197461528903136e-13
sulfur dioxide,7.216117826408084e-14
acetaldehyde,9.911294363982187e-14
trichloroethylene,1.172790741222823e-14
methylethylketone,1.1750786669762813e-13
black carbon,8.968668953557286e-10
benzene,9.865535848913015e-15
tropospheric ozone,5.143257699532735e-13
ethanol,2.455859812856706e-13
acetone,1.193961027962645e-13
carbon monoxide,9.198897285482144e-15
HFC-161,1.2349035049349648e-13
HFC-152,2.427282509681352e-13
HCFC-151,1.061262111291795e-13
HCFC-141a,1.4287282445171488e-13
HCFC-131,2.1119479395698978e-13
methylbromide,1.3609832402051868e-14
HCFC-31,2.893390066753689e-13
