,carbon dioxide,methane,nitrous oxide,isoprene,ammonia,sulfur dioxide,acetaldehyde,trichloroethylene,methylethylketone,black carbon,benzene,tropospheric ozone,ethanol,acetone,carbon monoxide,HFC-161,HFC-152,HCFC-151,HCFC-141a,HCFC-131,methylbromide,HCFC-31
2024,3.399703430850161e-14,9.257604646163275e-12,2.2364638846964556e-11,5.7570676201386675e-11,9.696644969517257e-12,7.607765729815272e-13,3.542295767763242e-11,3.4313101732903614e-12,8.992891368697624e-12,9.455434895648655e-09,3.845467921070944e-12,5.4983167407824175e-12,1.0451633749123075e-11,3.156602848774401e-12,3.843680480719133e-13,1.3019079585916519e-12,2.5576517186097623e-12,1.1179308284370444e-12,1.5049499133298848e-12,2.2184195675960666e-12,1.4285630104352335e-13,3.032172591816527e-12
2025,3.1571070809998453e-14,1.1942986880002634e-11,2.8005212013688098e-11,5.4648092223248173e-11,9.204393388922899e-12,7.221556405139999e-13,3.362470593868657e-11,3.2571191998004492e-12,8.53636589993995e-12,8.975428379248204e-09,3.65025216746752e-12,5.2191938690868525e-12,9.921054997716957e-12,2.9963516625066538e-12,3.6484170259752096e-13,1.2355360849745485e-12,2.418444522326168e-12,1.0557936803446169e-12,1.421062331650578e-12,2.0810843459055403e-12,1.3385789421258497e-13,2.8349304341094082e-12
2026,2.898229361192192e-14,1.1720853946390805e-11,2.7378949578358853e-11,4.959980755978817e-11,8.354109509612077e-12,6.554443132665821e-13,3.051852088354418e-11,2.95623285180747e-12,7.747793002353871e-12,8.14629584021875e-09,3.313048958774778e-12,4.737054870138878e-12,9.004567192096786e-12,2.719541549708591e-12,3.3110754064531074e-13,1.1207792932142953e-12,2.178038991275114e-12,9.490102990014965e-13,1.277015022424591e-12,1.855823696918908e-12,1.1924890239258185e-13,2.5213233009230216e-12
2027,2.6408265698836677e-14,1.114188218991786e-11,2.598027793159555e-11,3.875095382641934e-11,6.526833941428359e-12,5.120804540115674e-13,2.3843273831673568e-11,2.3096227257651053e-12,6.053135752238485e-12,6.364474888158995e-09,2.588393252935112e-12,3.700929573295184e-12,7.0350185795773825e-12,2.1247126285988444e-12,2.587096532092456e-13,8.76129400062819e-13,1.71738582535985e-12,7.503999452102643e-13,1.0101483906960623e-12,1.4904124246828585e-12,9.603436979914502e-14,2.041552421645296e-12
2028,2.5078766754116455e-14,9.548324574432792e-12,2.2412776392571656e-11,3.4167283460303915e-11,5.754804959053389e-12,4.5150882688692524e-13,2.1022963700785564e-11,2.0364281794097933e-12,5.337138424459329e-12,5.611650606838129e-09,2.2822242359216667e-12,3.2631638034143416e-12,6.202878908674802e-12,1.873402548523012e-12,2.281373694218438e-13,7.730864060115894e-13,1.5310481726753668e-12,6.709220538441341e-13,9.035064041364384e-13,1.3506942316313167e-12,8.72122286493241e-14,1.861143662937641e-12
2029,2.4373537869545824e-14,8.100507091288226e-12,1.9204224590816507e-11,3.560666765073925e-11,5.997240906754997e-12,4.705297965150565e-13,2.1908609807275345e-11,2.1222179242592095e-12,5.561979036383828e-12,5.848055809572045e-09,2.3783687679640205e-12,3.400632922051525e-12,6.464191041162221e-12,1.9523160691052243e-12,2.377283694784036e-13,8.052540380995651e-13,1.5841126098737008e-12,6.928641871299935e-13,9.328211933876906e-13,1.3825929637281019e-12,8.915060832869748e-14,1.897706853113085e-12
2030,2.3297412603052732e-14,8.528748598823056e-12,2.0032882350723362e-11,3.3465298625440413e-11,5.636569488825189e-12,4.422323424814592e-13,2.05910358383507e-11,1.994588689906327e-12,5.227484107336484e-12,5.496356317461381e-09,2.2353347368740664e-12,3.196120383804843e-12,6.075437492831079e-12,1.8349091826149628e-12,2.2344225871496422e-13,7.570434833080482e-13,1.4950338204822668e-12,6.546179502132419e-13,8.81457193520831e-13,1.3129939992791825e-12,8.472939867849442e-14,1.806207901904735e-12
2031,2.2446292854240303e-14,7.520060128115182e-12,1.7791050140660386e-11,3.3541010174043e-11,5.6493216314979275e-12,4.432328464115541e-13,2.063762078656185e-11,1.999101226954593e-12,5.239310716403718e-12,5.508791242654689e-09,2.240391935221906e-12,3.2033512533252745e-12,6.089182498952334e-12,1.839057499475655e-12,2.2394073185102873e-13,7.586143525291043e-13,1.4944760045212346e-12,6.539372221791078e-13,8.804632345131716e-13,1.3075886808555026e-12,8.43390982685941e-14,1.7961798699634952e-12
2032,2.1450951176734395e-14,8.026372031476153e-12,1.8771068025874862e-11,3.234483440140998e-11,5.447849390498879e-12,4.274257954635193e-13,1.990161963887417e-11,1.9278071173379274e-12,5.052460749907054e-12,5.312330748944185e-09,2.160492655545148e-12,3.089109877607328e-12,5.872023489780979e-12,1.7734738606659727e-12,2.1596104022954228e-13,7.316956182059993e-13,1.4451824829161842e-12,6.328264092634925e-13,8.521201938179561e-13,1.26902835142107e-12,8.187790432014759e-14,1.7445653353609275e-12
2033,2.0536941122570978e-14,7.710618291565947e-12,1.7962690534276297e-11,3.258340440789297e-11,5.4880317907574334e-12,4.3057841462808274e-13,2.00484106061923e-11,1.9420262952807293e-12,5.089726841305031e-12,5.351513587007246e-09,2.176428082549677e-12,3.1118946277621655e-12,5.915334538629938e-12,1.7865560667587573e-12,2.1755705003681862e-13,7.371540097811771e-13,1.4560190093151922e-12,6.37337039018725e-13,8.581409767269793e-13,1.2729358736097807e-12,8.205137290757707e-14,1.744745412258597e-12
