,0
carbon dioxide,3.754504978872179e-15
methane,1.273752654389074e-12
nitrous oxide,2.9986514633453632e-12
isoprene,5.460693687231805e-12
ammonia,9.197461528903136e-13
sulfur dioxide,7.216117826408084e-14
acetaldehyde,3.359938325143576e-12
trichloroethylene,3.2546662708372506e-13
methylethylketone,8.529937177308092e-13
black carbon,8.968668953557286e-10
benzene,3.6475031711667167e-13
tropospheric ozone,5.215263307326194e-13
ethanol,9.913583477179173e-13
acetone,2.994101222799102e-13
carbon monoxide,3.6458163093005646e-14
HFC-161,1.2349035049349648e-13
HFC-152,2.427282509681352e-13
HCFC-151,1.061262111291795e-13
HCFC-141a,1.4287282445171488e-13
HCFC-131,2.1119479395698978e-13
methylbromide,1.3609832402051868e-14
HCFC-31,2.893390066753689e-13
