,0
carbon dioxide,1.2214498309105528e-14
methane,1.273752654389074e-12
nitrous oxide,2.9986514633453632e-12
isoprene,4.6274891031099294e-15
ammonia,8.372504297879344e-14
sulfur dioxide,3.338406274850521e-14
acetaldehyde,7.709338912303752e-14
trichloroethylene,1.0891609889938602e-14
methylethylketone,1.1436521220622596e-13
black carbon,9.224390949959156e-10
benzene,1.2374214938033913e-14
tropospheric ozone,1.466845180430672e-12
ethanol,7.024324381809918e-13
acetone,4.866505461061561e-13
carbon monoxide,4.8653083996189726e-14
HFC-161,6.775470530137906e-13
HFC-152,1.7280131044487565e-12
HCFC-151,7.699745859736512e-13
HCFC-141a,1.0386776385888333e-12
HCFC-131,1.5761363173834632e-12
methylbromide,1.014229183488418e-13
HCFC-31,2.1435552054705815e-12
