,carbon dioxide,methane,nitrous oxide,isoprene,ammonia,sulfur dioxide,acetaldehyde,trichloroethylene,methylethylketone,black carbon,benzene,tropospheric ozone,ethanol,acetone,carbon monoxide,HFC-161,HFC-152,HCFC-151,HCFC-141a,HCFC-131,methylbromide,HCFC-31
2024,9.191269150162721e-14,9.257604646163275e-12,2.2364638846964556e-11,6.329476787619169e-11,2.764277680420354e-13,1.1487724396773337e-13,3.9300376432135185e-11,3.794164768021533e-12,9.21634124512453e-12,3.354758802942119e-09,4.2932737387855345e-12,6.24177617303111e-12,1.187507317056331e-11,4.370869476219502e-12,5.65359015918722e-13,3.3713247018177222e-12,9.708723766409825e-12,4.398795993839705e-12,5.946114854054693e-12,9.573112504435119e-12,6.210743574828392e-13,1.332090982820467e-11
2025,1.1707593285082467e-13,1.1942986880002634e-11,2.8005212013688098e-11,1.299315659629687e-10,6.535103596758071e-13,2.6518806827222757e-13,8.073157767975016e-11,7.796071587621202e-12,1.8997563390296333e-11,7.50473062755802e-09,8.820197257142562e-12,1.2812649539815959e-11,2.4374036175045014e-11,8.734266218305884e-12,1.1106527123573312e-12,6.1614869510787405e-12,1.6171077886947018e-11,7.23003797592356e-12,9.75715933171171e-12,1.4970401187559488e-11,9.646878410397126e-13,2.0438658326590852e-11
2026,1.12828537886755e-13,1.1720853946390805e-11,2.7378949578358853e-11,1.2837270110128958e-10,6.666366670679535e-13,2.6895008309841437e-13,7.977553306176031e-11,7.704167685194997e-12,1.878679874303304e-11,7.54925574401976e-09,8.715831009099739e-12,1.2658813100759875e-11,2.4081014152777965e-11,8.595907635269504e-12,1.0915384647826343e-12,6.002529519742832e-12,1.567792582761838e-11,7.00597365771337e-12,9.454178994407883e-12,1.4476746936770685e-11,9.32581141015838e-13,1.9746427198685253e-11
2027,1.0803233800372225e-13,1.114188218991786e-11,2.598027793159555e-11,1.2495602642837367e-10,6.408809940249956e-13,2.5896796149110253e-13,7.764677509429582e-11,7.498382482535308e-12,1.827900553878717e-11,7.286872631443593e-09,8.483163492298435e-12,1.2321939497779336e-11,2.3440361849118066e-11,8.382387313803364e-12,1.0645411616213275e-12,5.8710035778417305e-12,1.5256049861165862e-11,6.808521761410344e-12,9.186157576983786e-12,1.3987396087752723e-11,9.002795404932494e-13,1.903217879944095e-11
2028,9.11255454825455e-14,9.548324574432792e-12,2.2412776392571656e-11,1.0279653600619743e-10,5.345952054841356e-13,2.1507475548222587e-13,6.388027221399141e-11,6.1690398440738984e-12,1.5041746532111094e-11,6.0281624821355565e-09,6.9791117511640846e-12,1.0136746168536352e-11,1.928333375047947e-11,6.88901590727676e-12,8.744336360590792e-13,4.8099561512555346e-12,1.2470762399989769e-11,5.565221315202645e-12,7.508689886658567e-12,1.144423435278026e-11,7.368160595710656e-13,1.5587016462105946e-11
2029,7.658259514670598e-14,8.100507091288226e-12,1.9204224590816507e-11,7.617752658609968e-11,3.945077581108553e-13,1.5844666337906952e-13,4.733670569326721e-11,4.571327627101245e-12,1.1144113897470724e-11,4.4466713005665545e-09,5.171638088285331e-12,7.511858249344232e-12,1.4290059692191981e-11,5.119097806606437e-12,6.516192355949434e-13,3.6212056010483464e-12,9.59804335331415e-12,4.299086836620769e-12,5.803111933980422e-12,8.973926837972921e-12,5.790282096156863e-13,1.2298591547682907e-11
2030,7.88531039477831e-14,8.528748598823056e-12,2.0032882350723362e-11,9.770044598504294e-11,5.33129202097917e-13,2.1384699004001677e-13,6.073226414332177e-11,5.865742694561004e-12,1.4322753617537126e-11,5.940646440314995e-09,6.635550737660103e-12,9.634084743564775e-12,1.832634969839107e-11,6.471638648539452e-12,8.168880415548562e-13,4.360351040335752e-12,1.1059301042120585e-11,4.9268845825901155e-12,6.646192841371552e-12,1.0099843656511037e-11,6.50233141651059e-13,1.375730690729472e-11
2031,7.093254190285041e-14,7.520060128115182e-12,1.7791050140660386e-11,6.756783847349952e-11,3.5790404312008246e-13,1.429462734486752e-13,4.199040370523592e-11,4.055128534858402e-12,9.889379524354131e-12,3.980916467415933e-09,4.587484365124046e-12,6.6628142100286315e-12,1.2674860054039048e-11,4.541974593063581e-12,5.793266417583642e-13,3.2352459261965394e-12,8.758921418802988e-12,3.938636889338882e-12,5.319195982993216e-12,8.348026107350888e-12,5.397393881651147e-13,1.1505320691222117e-11
2032,7.682336008040186e-14,8.026372031476153e-12,1.8771068025874862e-11,7.934923504910385e-11,3.989903244076551e-13,1.6107707137034236e-13,4.92995736371412e-11,4.760554514042344e-12,1.1596352032453253e-11,4.537935931401652e-09,5.385852968994662e-12,7.824687384591782e-12,1.4885591484427198e-11,5.379900902413028e-12,6.885142916650161e-13,3.919104647659634e-12,1.06039173242393e-11,4.757051797061775e-12,6.42235692036657e-12,9.949508383416836e-12,6.418177694386877e-13,1.3621540388529454e-11
2033,7.215845668948107e-14,7.710618291565947e-12,1.7962690534276297e-11,8.999808874220911e-11,4.810103899413014e-13,1.9237832442546453e-13,5.593450187510469e-11,5.4019644727049966e-12,1.317944668209336e-11,5.359868639047841e-09,6.111097277088122e-12,8.874620648983002e-12,1.6882099855954967e-11,6.003899009781074e-12,7.601011109585453e-13,4.1288153061444946e-12,1.055612197475837e-11,4.7024326260394915e-12,6.343229517775567e-12,9.610843992444003e-12,6.18290727830699e-13,1.3061203437809059e-11
2034,6.453784314423827e-14,6.653642760716794e-12,1.5616061126970445e-11,6.969844437964856e-11,3.84556901932305e-13,1.5262201199679935e-13,4.3324151044165135e-11,4.184276360068819e-12,1.0214715160386669e-11,4.212865632230937e-09,4.7333275435459445e-12,6.872826640182333e-12,1.3074004182707672e-11,4.645983451750679e-12,5.893604422379422e-13,3.2118669783090028e-12,8.399044918418061e-12,3.757183305507886e-12,5.0708465214842966e-12,7.808560728483512e-12,5.035221826442512e-13,1.068200170711988e-11
2035,6.737234273609236e-14,7.123552845877056e-12,1.6543753149166252e-11,8.170301794443167e-11,4.4207319011499734e-13,1.7683554986156457e-13,5.07833933903266e-11,4.9046447135205004e-12,1.1970747259142008e-11,4.9134038540941424e-09,5.5483730468082645e-12,8.056623327964448e-12,1.5325921396667326e-11,5.445246581550272e-12,6.902618344527307e-13,3.754652376759977e-12,9.72484957873555e-12,4.3408251710926914e-12,5.8568787265003595e-12,8.929492832384848e-12,5.748518256280286e-13,1.2156819730166808e-11
2036,6.561424252425331e-14,6.8698981868373154e-12,1.590022188286511e-11,8.809341399410778e-11,4.837952596402976e-13,1.935547306888683e-13,5.476116100629045e-11,5.289026895722844e-12,1.2915083030834583e-11,5.361173853562419e-09,5.9830609718245735e-12,8.686733389521015e-12,1.652433206160721e-11,5.845097245038291e-12,7.385257133435529e-13,3.960568355164095e-12,1.0021459746830568e-11,4.456744775736037e-12,6.010502290269653e-12,9.038539601966572e-12,5.807418416060433e-13,1.2238354486557704e-11
2037,5.331623356574173e-14,5.5409438128881975e-12,1.2965630610477486e-11,6.778267759928319e-11,3.8009125033420466e-13,1.5083320745867653e-13,4.2138220578661897e-11,4.0699302284313135e-12,9.940973814066966e-12,4.152884188919853e-09,4.60387926932374e-12,6.683883600757465e-12,1.2714348353048965e-11,4.49135620402638e-12,5.670892635774928e-13,3.0300665995631956e-12,7.648317481894296e-12,3.401659809332131e-12,4.587683761564072e-12,6.9122486397243385e-12,4.443443314032173e-13,9.373868282115686e-12
2038,4.69773341064259e-14,4.937471208591464e-12,1.1621168708488549e-11,5.985552231272721e-11,3.42832958847557e-13,1.3590014256765264e-13,3.7215390192493e-11,3.5946418391370498e-12,8.785609693520054e-12,3.7240519362324017e-09,4.066088953428752e-12,5.902167337464881e-12,1.1227172586359248e-11,3.951780436698692e-12,4.98496285162925e-13,2.6430181793585765e-12,6.68055692851382e-12,2.974142801046294e-12,4.011643496204207e-12,6.074218514020095e-12,3.907982528913989e-13,8.257314402377215e-12
2039,4.699964952672358e-14,5.062979432239499e-12,1.1845107898337501e-11,6.077063105788157e-11,3.4307049689039847e-13,1.3649726134679992e-13,3.778189413681448e-11,3.649284475866347e-12,8.916612152804351e-12,3.7550858188386336e-09,4.1279843537510145e-12,5.992431141348241e-12,1.1398939213566877e-11,4.0183743842241645e-12,5.072769918316754e-13,2.7007242254489146e-12,6.8505887207460895e-12,3.05068155626943e-12,4.114999851276076e-12,6.231845163348494e-12,4.009035011724923e-13,8.46876012086918e-12
2040,4.713815556481696e-14,5.040787778113415e-12,1.1745531703593247e-11,6.26901387919692e-11,3.5334573198322186e-13,1.4028145542113513e-13,3.8974002202890944e-11,3.764377365077337e-12,9.196447559105052e-12,3.859444891682719e-09,4.258204152178639e-12,6.181711010483648e-12,1.1759029060273037e-11,4.147819657352565e-12,5.235337412518274e-13,2.7888638038838287e-12,7.045661324580059e-12,3.1344922331144305e-12,4.227507808594223e-12,6.373972484309612e-12,4.0975125300670334e-13,8.643870682821396e-12
2041,4.6928285742998206e-14,4.911862828747271e-12,1.1414960137314101e-11,6.156789107286214e-11,3.510964304932578e-13,1.3924360867192327e-13,3.827912735820252e-11,3.697363565998881e-12,9.035760774794912e-12,3.821466382187764e-09,4.182325724466738e-12,6.071027009925868e-12,1.1548383048249041e-11,4.0637621548383956e-12,5.122098402265622e-13,2.709414944431851e-12,6.778397429917788e-12,3.011205697883146e-12,4.0604981974242065e-12,6.090959291240505e-12,3.9129227581516695e-13,8.244631397326136e-12
2042,4.2157585882836005e-14,4.4216092664471594e-12,1.0318785130114938e-11,5.488555327495976e-11,3.2395925591162163e-13,1.2725124278202718e-13,3.412958211864634e-11,3.2967111949979236e-12,8.061854405532263e-12,3.459574346893861e-09,3.728926537360813e-12,5.4120394775778665e-12,1.0294732232782747e-11,3.61257313890159e-12,4.548799488535681e-13,2.3898802654444007e-12,5.960997353527963e-12,2.6482194204862324e-12,3.5710796318783008e-12,5.364120864486962e-12,3.4471444380832223e-13,7.26827445848845e-12
2043,3.7960650634030954e-14,4.1359416418831024e-12,9.668842424335834e-12,4.9874285686035557e-11,2.8976680906658973e-13,1.1460912221869756e-13,3.101213994349018e-11,2.9955635847493117e-12,7.32423652357279e-12,3.1320379123021188e-09,3.388368855940582e-12,4.917925745396723e-12,9.35485037602853e-12,3.284894204973549e-12,4.1392468728163436e-13,2.180765729144794e-12,5.477769430446908e-12,2.436628259223091e-12,3.2862826557563995e-12,4.961077582263453e-12,3.1904732023680415e-13,6.736059491322882e-12
2044,3.716123350224943e-14,4.051364859969691e-12,9.450895733455231e-12,4.965012314747468e-11,2.852729037552965e-13,1.1284997756622635e-13,3.087045126604841e-11,2.981802314542645e-12,7.288210387977822e-12,3.0936941603314867e-09,3.372877361528472e-12,4.8958385802097554e-12,9.312900454291465e-12,3.2764519184566525e-12,4.133463373314649e-13,2.1903693118064487e-12,5.540113866451154e-12,2.4662181162465713e-12,3.3264795946272413e-12,5.030571535326636e-12,3.2355156738325364e-13,6.831836508964164e-12
