,Temp
2000,0.6647600000000001
2001,0.7274690863816922
2002,0.7577032113861724
2003,0.778469205834684
2004,0.7938662884927068
2005,0.8092633711507294
2006,0.8246604538087522
2007,0.8400575364667747
2008,0.8554546191247975
2009,0.8798942369510699
2010,0.9152960088691796
2011,0.9505509977827051
2012,0.9858059866962305
2013,1.0176244868389277
2014,1.023
2015,1.0488844537815125
2016,1.0955231092436974
2017,1.1381130804208903
2018,1.1674221129441624
2019,1.1956264276649748
2020,1.2238307423857868
2021,1.252035057106599
2022,1.2802393718274112
2023,1.3084436865482234
2024,1.3366480012690354
2025,1.3648523159898476
2026,1.39305663071066
2027,1.421260945431472
2028,1.4494652601522842
2029,1.4776695748730964
2030,1.5058738895939086
2031,1.5340782043147205
2032,1.562282519035533
2033,1.5904868337563451
2034,1.6186911484771571
2035,1.6468954631979693
2036,1.6750997779187815
2037,1.703304092639594
2038,1.7315084073604057
2039,1.759712722081218
2040,1.7879170368020303
2041,1.8161213515228423
2042,1.8443256662436545
2043,1.8725299809644667
2044,1.900734295685279
2045,1.928938610406091
2046,1.9571429251269032
2047,1.9853472398477154
2048,2.013632147685017
2049,2.0393452914798202
2050,2.0635605381165916
2051,2.087775784753363
2052,2.111991031390134
2053,2.1362062780269055
2054,2.160421524663677
2055,2.184636771300448
2056,2.2088520179372195
2057,2.2330672645739913
2058,2.2572825112107626
2059,2.2816167709786037
2060,2.3040971615720527
2061,2.3248395196506553
2062,2.345581877729258
2063,2.3663242358078604
2064,2.387066593886463
2065,2.4078089519650656
2066,2.428551310043668
2067,2.4492936681222712
2068,2.4700360262008734
2069,2.4907783842794764
2070,2.5115207423580785
2071,2.5322631004366816
2072,2.553005458515284
2073,2.5735587244238314
2074,2.5895779367469887
2075,2.6039604668674703
2076,2.6183429969879524
2077,2.632725527108434
2078,2.6471080572289156
2079,2.6614905873493977
2080,2.6758731174698793
2081,2.690255647590362
2082,2.7046381777108435
2083,2.7190207078313255
2084,2.733403237951807
2085,2.7477857680722892
2086,2.762239545869774
2087,2.7760957894736844
2088,2.789358947368421
2089,2.802622105263158
2090,2.815885263157895
2091,2.8290586276738012
2092,2.83966265060241
2093,2.849301204819277
2094,2.8589397590361445
2095,2.8685783132530123
2096,2.8777611833472507
2097,2.88
2098,2.88
2099,2.88
2100,2.88
2101,2.8846
2102,2.8891999999999998
2103,2.8937999999999997
2104,2.8984
2105,2.903
2106,2.9076
2107,2.9122
2108,2.9168
2109,2.9213999999999998
2110,2.9259999999999997
2111,2.9306
2112,2.9352
2113,2.9398
2114,2.9444
2115,2.949
2116,2.9536
2117,2.9581999999999997
2118,2.9628
2119,2.9674
2120,2.972
2121,2.9766
2122,2.9812
2123,2.9858
2124,2.9903999999999997
2125,2.995
2126,2.9996
2127,3.0042
2128,3.0088
2129,3.0134
2130,3.018
2131,3.0225999999999997
2132,3.0271999999999997
2133,3.0318
2134,3.0364
2135,3.041
2136,3.0456
2137,3.0502
2138,3.0547999999999997
2139,3.0594
2140,3.064
2141,3.0686
2142,3.0732
2143,3.0778
2144,3.0824
2145,3.0869999999999997
2146,3.0915999999999997
2147,3.0962
2148,3.1008
2149,3.1054
2150,3.11
2151,3.1146
2152,3.1191999999999998
2153,3.1237999999999997
2154,3.1284
2155,3.133
2156,3.1376
2157,3.1422
2158,3.1468
2159,3.1513999999999998
2160,3.1559999999999997
2161,3.1606
2162,3.1652
2163,3.1698
2164,3.1744
2165,3.179
2166,3.1835999999999998
2167,3.1881999999999997
2168,3.1928
2169,3.1974
2170,3.202
2171,3.2066
2172,3.2112
2173,3.2157999999999998
2174,3.2203999999999997
2175,3.2249999999999996
2176,3.2296
2177,3.2342
2178,3.2388
2179,3.2434
2180,3.2479999999999998
2181,3.2525999999999997
2182,3.2572
2183,3.2618
2184,3.2664
2185,3.271
2186,3.2756
2187,3.2802
2188,3.2847999999999997
2189,3.2893999999999997
2190,3.294
2191,3.2986
2192,3.3032
2193,3.3078
2194,3.3124
2195,3.3169999999999997
2196,3.3216
2197,3.3262
2198,3.3308
2199,3.3354
2200,3.34
2201,3.3446
2202,3.3491999999999997
2203,3.3537999999999997
2204,3.3584
2205,3.363
2206,3.3676
2207,3.3722
2208,3.3768
2209,3.3813999999999997
2210,3.386
2211,3.3906
2212,3.3952
2213,3.3998
2214,3.4044
2215,3.409
2216,3.4135999999999997
2217,3.4181999999999997
2218,3.4227999999999996
2219,3.4274
2220,3.432
2221,3.4366
2222,3.4412
2223,3.4457999999999998
2224,3.4504
2225,3.455
2226,3.4596
2227,3.4642
2228,3.4688
2229,3.4734
2230,3.4779999999999998
2231,3.4825999999999997
2232,3.4871999999999996
2233,3.4918
2234,3.4964
2235,3.501
2236,3.5056
2237,3.5101999999999998
2238,3.5148
2239,3.5194
2240,3.524
2241,3.5286
2242,3.5332
2243,3.5378
2244,3.5423999999999998
2245,3.5469999999999997
2246,3.5515999999999996
2247,3.5562
2248,3.5608
2249,3.5654
2250,3.57
2251,3.5745999999999998
2252,3.5792
2253,3.5838
2254,3.5884
2255,3.593
2256,3.5976
2257,3.6022
2258,3.6068
2259,3.6113999999999997
2260,3.6159999999999997
2261,3.6206
2262,3.6252
2263,3.6298
2264,3.6344
2265,3.639
2266,3.6435999999999997
2267,3.6482
2268,3.6528
2269,3.6574
2270,3.662
2271,3.6666
2272,3.6712
2273,3.6757999999999997
2274,3.6803999999999997
2275,3.6849999999999996
2276,3.6896
2277,3.6942
2278,3.6988
2279,3.7034
2280,3.7079999999999997
2281,3.7126
2282,3.7172
2283,3.7218
2284,3.7264
2285,3.731
2286,3.7356
2287,3.7401999999999997
2288,3.7447999999999997
2289,3.7493999999999996
2290,3.754
2291,3.7586
2292,3.7632
2293,3.7678
2294,3.7723999999999998
2295,3.777
2296,3.7816
2297,3.7862
2298,3.7908
2299,3.7954
2300,3.8
